sample_id,source_type,sentence_type,sentence_text,current_control_code,current_control_name,current_category,current_confidence,reviewer_decision,reviewer_control_code,reviewer_note
S0243,kosha,equipment_rule,칩의 비산 및 접촉을 방지하기 위하여 방호가드를 설치하여야 하나 이를 설치하지 않은 상태로 작업,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0244,kosha,ppe_rule,"● 작업자는 복장을 단정히 하고 안전모, 보안경, 귀마개 등 보호구를 착용한다.",ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0248,kosha,requirement,● 본체외함에 접지선이 탈락되어 있는지 확인해야 한다.,ctrl_electrical_isolation,충전전로 정전·접지,engineering_control,medium,,,
S0250,kosha,equipment_rule,- 제430조 (전체 환기장치의 성능 등),ctrl_local_ventilation_install,국소배기장치 설치·운전,engineering_control,medium,,,
S0251,kosha,education_rule,● 근로자에 대한 안전교육 실시,ctrl_safety_training_general,정기 안전보건교육,training_control,medium,,,
S0252,kosha,requirement,● 발스위치는 안전덮개가 설치된 형태의 것을 사용해야 한다.,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0257,kosha,requirement,● 본체외함에 접지선은 연결되어 있는지 확인해야 한다.,ctrl_electrical_isolation,충전전로 정전·접지,engineering_control,medium,,,
S0260,kosha,requirement,● 주변 정리정돈은 되어 있는지 수시로 확인해야 한다.,ctrl_housekeeping_cleanup,정리·정돈·청소,housekeeping_control,medium,,,
S0261,kosha,ppe_rule,● 작업자는 안전화를 착용하고 있는지 확인해야 한다.,ctrl_ppe_wear,보호구 착용,ppe_control,medium,,,
S0263,kosha,equipment_rule,● 자동 연동식 방호장치 설치,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0264,kosha,equipment_rule,축대가 회전하기 전에 방호장치가 먼저,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0265,kosha,equipment_rule,- 방호장치 상·하 조절손잡이 조작은 수동,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0266,kosha,equipment_rule,● 모든 방호장치는 제자리에 위치하도록 한다.,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0267,kosha,ppe_rule,"● 가공 중에는 얼굴을 기계 가까이 대지 않도록 하고, 보안경을 착용한다.",ctrl_ppe_wear,보호구 착용,ppe_control,medium,,,
S0271,kosha,ppe_rule,"● 연마작업 시 보호구(보안경, 귀마개, 방진마스크)를 착용",ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0274,kosha,ppe_rule,"● 작업자는 보호 장비(방진마스크, 귀마개, 보안경)를 착용해야한다",ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0278,kosha,inspection_rule,● 사용 전 접지선이 연결되어 있는지를 확인하여야한다,ctrl_electrical_isolation,충전전로 정전·접지,engineering_control,medium,,,
S0281,kosha,ppe_rule,"● 작업 중에는 반드시 보안경과 안전화, 마스크 등 보호구를 착용한다.",ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0286,kosha,requirement,"● 본체 외함에는 접지를 해야 하며, 탈락여부를 수시로 확인해야 한다.",ctrl_electrical_isolation,충전전로 정전·접지,engineering_control,medium,,,
S0289,kosha,requirement,● 작업장 주변의 정리정돈 상태를 수시로 확인해야 한다.,ctrl_housekeeping_cleanup,정리·정돈·청소,housekeeping_control,medium,,,
S0290,kosha,ppe_rule,"- 보안경, 마스크, 안전장갑 등 개인보호구 착용 후 작업 실시",ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0296,kosha,document_rule,● 작업 장소 주변에 소화기 등을 비치하여야 한다.,ctrl_fire_extinguisher_setup,소화설비 비치,emergency_control,medium,,,
S0298,kosha,ppe_rule,● 작업자는 보안면 및 방진마스크를 착용하고 작업해야 한다.,ctrl_ppe_wear,보호구 착용,ppe_control,medium,,,
S0302,kosha,ppe_rule,- 비산된 불꽃에 눈 부상 방지를 위하여 작업 시 상시 보안경 착용 후 작업 실시,ctrl_ppe_wear,보호구 착용,ppe_control,medium,,,
S0304,kosha,ppe_rule,● 작업 중에는 반드시 보안경과 마스크 등 보호구를 착용한다.,ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0305,kosha,ppe_rule,● 작업자는 용접용 방진마스크를 착용하고 작업한다.,ctrl_ppe_wear,보호구 착용,ppe_control,medium,,,
S0306,kosha,equipment_rule,- 제93조 (방호장치의 해체금지),ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0307,kosha,ppe_rule,● 작업에 적합한 보호구를 지급하고 착용하여야 한다.,ctrl_ppe_provision,보호구 지급·관리,ppe_control,medium,,,
S0308,kosha,education_rule,● 작업자에 대하여 특별안전작업 교육을 실시한다.,ctrl_safety_training_general,정기 안전보건교육,training_control,medium,,,
S0309,kosha,equipment_rule,● 광전자식 방호장치 설치,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0310,kosha,equipment_rule,● 광전자식 안전장치 방호장치 설치,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0311,kosha,equipment_rule,● 광전자식안전장치 방호장치 미설치,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0314,kosha,requirement,● 전단기 외함에 접지가 되어 있는지 확인해야 한다.,ctrl_electrical_isolation,충전전로 정전·접지,engineering_control,medium,,,
S0315,kosha,requirement,● 페달 스위치 상부에 안전덮개가 부착된 것을 사용하는지 확인해야 한다.,ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0319,kosha,equipment_rule,"● 설치된 방호장치의 작동상태 점검은 작업 전 반드시 확인하고, 기능제거 상태에서 전단기를 사용",ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0320,kosha,ppe_rule,"● 안전화, 귀마개, 지정작업복 등 보호 장구를 착용한다.",ctrl_ppe_wear,보호구 착용,ppe_control,high,,,
S0322,kosha,equipment_rule,"● 고용노동부 고시 제93-41호 제2000-16호 위험기계·기구 방호장치, 성능검정 기준",ctrl_guard_installation,방호장치 설치,engineering_control,medium,,,
S0341,expc,document_rule,"「산업안전보건법 시행규칙」 제4조제1항에서는 사업주가 고용노동부장관에게 보고하여야 하는 산업재해의 하나로서 “3일 이상”의 휴업이 필요한 부상을 입거나 질병에 걸린 사람이 발생한 경우를 규정하고 있는바,",ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0342,expc,document_rule,"「산업안전보건법」 제10조제2항에 따르면 사업주는 같은 조 제1항에 따라 기록한 산업재해 중 고용노동부령으로 정하는 산업재해에 대하여는 그 발생 개요·원인 및 보고 시기, 재발방지 계획 등을 고용노동부령으로 정하는 바에 따라 고용노동부장관에게 보고하여야 하고, 그 위임을 받아 같은 법 시행규칙 제4조제1항에서는 사업주는 산업재해로 사망자가 발생하거나 3일 이상의 휴업이 필요한 부상을 입거나 질병에 걸린 사람이 발생한 경우에는 해당 산업재해가 발생한 날부터 1개월 이내에 산업재해조사표를 작성하여 지방고용노동관서의 장에게 제출(전자문서에 의한 제출을 포함함)하도록 규정하였는바,",ctrl_incident_report,재해·사고 보고,document_control,medium,,,
S0361,expc,requirement,"가 발생했을 때에는 즉시 해당 작업을 중지시키고 근로자를 작업장소에서 대피시키는 등 안전 및 보건에 관하여 필요한 조치를 해야 한다고 규정하고 있는 한편,",ctrl_emergency_evacuation,비상 대피체계 수립,emergency_control,medium,,,
S0366,expc,requirement,제54조(중대재해 발생 시 사업주의 조치) ① 사업주는 중대재해가 발생하였을 때에는 즉시 해당 작업을 중지시키고 근로자를 작업장소에서 대피시키는 등 안전 및 보건에 관하여 필요한 조치를 하여야 한다.,ctrl_emergency_evacuation,비상 대피체계 수립,emergency_control,medium,,,
S0379,expc,requirement,"는 ‘「산업안전보건기준에 관한 규칙」 제573조제1호의 방사선에 노출되는 업무에 종사하는 근로자’의 건강관리를 위하여 건강진단(이하 “특수건강진단”이라 함)을 실시하여야 한다고 규정하고 있고, 「산업안전보건법」 제130조제1항 단서 및 같은 법 시행규칙 제200조제1호에서는 사업주가 ‘「원자력안전법」에 따른 건강진단(방사선만 해당한다)’을 실시한 경우 해당 유해인자에 대한 특수건강진단을 실시한 것으로 본다고 규정하고 있는 한편,",ctrl_special_health_check,특수건강진단,health_control,medium,,,
S0381,expc,requirement,사업주인 신고사용자가 방사선에 노출되는 업무에 종사하는 근로자에 대해 「원자력안전법」 제91조제1항에 따라 건강진단 실시 의무가 면제되어 건강진단을 실시하지 않았다면 「산업안전보건법」 제130조제1항에 따른 특수건강진단을 실시하여야 하는지?,ctrl_special_health_check,특수건강진단,health_control,medium,,,
S0383,expc,requirement,"그런데 신고사업자는 「원자력안전법」 제91조제1항에 따라 건강진단을 실시하여야 하는 원자력관계사업자의 범위에서 제외되어 있는바, 「원자력안전법」에 따른 건강진단을 “실시하지 않은” 신고사용자는 「산업안전보건법」 제130조제1항 단서에 따라 특수건강진단을 실시한 것으로 보는 경우에 해당되지 않으므로, 특수건강진단을 실시해야 한다는 것이 문언상 명확합니다.",ctrl_special_health_check,특수건강진단,health_control,medium,,,
S0385,expc,requirement,따라서 사업주인 신고사용자가 방사선에 노출되는 업무에 종사하는 근로자에 대해 「원자력안전법」 제91조제1항에 따라 건강진단 실시 의무가 면제되어 건강진단을 실시하지 않았다면 「산업안전보건법」 제130조제1항에 따른 특수건강진단을 실시하여야 합니다.,ctrl_special_health_check,특수건강진단,health_control,medium,,,
