control_code,control_name_ko,control_name_en,control_category,control_type,description,typical_keywords,typical_verbs,related_sentence_types,related_hazard_codes,related_equipment_codes,related_work_type_codes,legal_required_possible,review_status,note
ctrl_excavation_shoring,흙막이 지보공 설치,excavation_shoring,engineering_control,excavation_shoring,굴착작업 전 지반조건에 맞는 흙막이 지보공을 설치한다,흙막이|지보공|토류판|어스앵커|sheet pile|굴착 붕괴,설치|시공,"equipment_rule,requirement","붕괴,매몰","EQ_EXCAV,EQ_BULLDOZER",굴착,Y,draft,신규 (굴착 카테고리 공백 보강)
ctrl_scaffold_install_std,비계 설치기준 준수,scaffold_install_std,engineering_control,scaffold_install_std,비계 조립기준(간격·연결재·작업발판)을 준수하여 설치한다,비계|시스템 비계|강관비계|쌍줄비계|발판 간격|연결재,설치|조립,"equipment_rule,requirement","붕괴,추락","EQ_SCAFF,EQ_MOVSCAFF,EQ_SYST_SCAFF","비계_조립,비계_해체",Y,draft,신규 (scaffold_inspection과 구분: 설치 기준)
ctrl_machine_emergency_stop,비상정지장치 설치,machine_emergency_stop,engineering_control,machine_emergency_stop,기계에 비상정지장치를 설치·유지하고 정상 동작을 확인한다,비상정지|비상정지장치|e-stop|emergency stop|비상정지 스위치,설치|유지,"equipment_rule,requirement","끼임,협착","EQ_CONCRETE_MIXER,EQ_HOIST,EQ_CONC_PUMP",기계정비,Y,draft,신규 (guard_installation 세분)
ctrl_ppe_wear,보호구 착용,ppe_wear,ppe_control,ppe_wear,해당 작업에 적합한 보호구(안전모·안전대·보안경 등)를 착용한다,보호구|개인보호구|PPE|안전모|안전대|안전화|방진마스크|방독마스크|호흡보호구|송기마스크|내화학장갑|보안경|보안면|보호복|귀마개|귀덮개,착용|사용,"ppe_rule,requirement",,,,Y,needs_review,v1 유지 · alias 확장 (개인보호구/PPE/송기/보안면)
ctrl_ppe_provision,보호구 지급·관리,ppe_provision,ppe_control,ppe_provision,작업에 적합한 보호구를 근로자에게 지급하고 교체 주기를 관리한다,보호구 지급|보호구 비치|보호구 교체|보호구 관리,지급|비치|교체,"ppe_rule,document_rule",,,,Y,needs_review,v1 유지 · 교체/관리 키워드 보강
ctrl_special_training,특별안전보건교육 실시,special_training,training_control,special_training,해당 작업 근로자에게 특별안전보건교육을 실시한다,특별교육|특별안전교육|특별안전보건교육,실시|이수,education_rule,,,,Y,needs_review,v1 유지
ctrl_pre_work_briefing,작업 전 안전교육(TBM),pre_work_briefing,training_control,pre_work_briefing,작업 전 위험요인·작업순서·보호구를 주지(TBM)한다,작업 전 교육|TBM|툴박스미팅|조회|일일안전|주지|숙지시,실시|주지|숙지,"education_rule,procedure",,,,N,needs_review,v1 유지 · 주지/숙지시 키워드 보강
ctrl_safety_training_general,정기 안전보건교육,safety_training_general,training_control,safety_training_general,법정 안전보건교육을 분기/반기별로 실시한다,안전보건교육|안전교육|정기교육|관리감독자 교육,실시|이수,education_rule,,,,Y,needs_review,v1 유지
ctrl_periodic_inspection,정기 점검,periodic_inspection,inspection_control,periodic_inspection,설비의 방호장치·과부하장치 등을 정기적으로 점검한다,정기점검|자체점검|매일 점검|매월|6개월마다|연 1회|자율점검,점검|검사|확인,"inspection_rule,requirement",,,,Y,needs_review,v1 유지
ctrl_pre_work_inspection,작업 전 점검,pre_work_inspection,inspection_control,pre_work_inspection,작업 전 설비 및 작업환경 이상 유무를 점검한다,작업 전 점검|시업 전 점검|작업 시작 전|작업 시작전|작업시작 전,점검|확인,"inspection_rule,procedure",,,,Y,needs_review,v1 유지 · 공백 변이 보강
ctrl_atmospheric_measurement,가스·산소 농도 측정,atmospheric_measurement,inspection_control,atmospheric_measurement,밀폐공간 작업 전 산소·유해가스 농도를 측정한다,산소농도|유해가스|가스농도|농도 측정|가연성 가스,측정|확인,inspection_rule,질식,EQ_MANHOLE_BLOWER,밀폐공간,Y,needs_review,v1 유지
ctrl_working_environment_measurement,작업환경측정,working_environment_measurement,inspection_control,working_environment_measurement,분진·소음 등 유해인자에 대해 작업환경측정을 실시한다,작업환경측정|유해인자 측정|환경측정,측정|실시,inspection_rule,소음진동,,,Y,needs_review,v1 유지
ctrl_checklist_verification,체크리스트 점검,checklist_verification,inspection_control,checklist_verification,표준 점검표로 작업 전·중 상태를 점검·기록한다,체크리스트|점검표|자율점검|check list,점검|기록|확인,"inspection_rule,document_rule",,,,N,needs_review,v1 유지
ctrl_scaffold_inspection,비계 점검,scaffold_inspection,inspection_control,scaffold_inspection,비계 조립 후 및 매일 작업 시작 전 점검한다,비계 점검|비계 조립 점검,점검,"inspection_rule,equipment_rule","붕괴,추락","EQ_SCAFF,EQ_MOVSCAFF,EQ_SYST_SCAFF","비계_조립,비계_해체",Y,needs_review,v1 유지
ctrl_pre_energization_check,통전 전 확인,pre_energization_check,inspection_control,pre_energization_check,전기 투입 전 주변 작업자 철수·접지 해제 여부를 확인한다,통전|전원 투입|활선 확인|송전 전 확인,확인|철수,"inspection_rule,procedure",감전,"EQ_DIST_PANEL,EQ_WELDER_ARC",,Y,needs_review,v1 유지
ctrl_lifting_equipment_inspection,양중기 점검,lifting_equipment_inspection,inspection_control,lifting_equipment_inspection,크레인·호이스트·와이어로프 등 양중기를 작업 전 점검한다,크레인 점검|호이스트 점검|와이어로프 점검|체인블록 점검|양중기 점검,점검|확인,"inspection_rule,equipment_rule","비래낙하,충돌","EQ_CRANE_TOWER,EQ_CRANE_MOB,EQ_HOIST",양중,Y,draft,신규 (scaffold_inspection 대응 양중측)
ctrl_electrical_equipment_inspection,전기기계·기구 점검,electrical_equipment_inspection,inspection_control,electrical_equipment_inspection,전동공구·분전반·누전차단기 등 전기기계의 절연·접지를 점검한다,누전차단기|분전반|절연저항|전동공구 점검|접지 점검,점검|확인,"inspection_rule,equipment_rule",감전,"EQ_DIST_PANEL,EQ_WELDER_ARC,EQ_DRILL,EQ_GRINDER,EQ_GENERATOR",,Y,draft,신규 (pre_energization_check와 구분: 장비 자체 점검)
ctrl_msds_posting,MSDS·경고표지 게시,msds_posting,document_control,msds_posting,취급 물질의 MSDS·경고표지를 게시하고 비치한다,MSDS|물질안전보건자료|경고표지,게시|비치|부착,document_rule,,,,Y,needs_review,v1 유지
ctrl_record_retention,점검·교육 기록 보존,record_retention,document_control,record_retention,점검·교육·측정 기록을 법정 기간 보존한다,기록|보존|관리대장|보존연한,보존|기록,document_rule,,,,Y,needs_review,v1 유지
ctrl_work_plan_preparation,작업계획서 작성,work_plan_preparation,document_control,work_plan_preparation,해당 작업의 작업계획서를 작성하고 근로자에게 주지한다,작업계획서|작업계획,작성|주지,"document_rule,requirement",,,,Y,needs_review,v1 유지
ctrl_safety_sign_posting,안전보건표지 부착,safety_sign_posting,document_control,safety_sign_posting,작업장 출입구·위험구역에 안전보건표지를 부착한다,안전보건표지|주의표지|경고표지(표지)|안내표지,부착|설치,document_rule,,,,Y,needs_review,v1 유지
ctrl_incident_report,재해·사고 보고,incident_report,document_control,incident_report,중대재해·산업재해 발생 시 고용노동부에 보고한다,산업재해|중대재해|보고|재해 발생 시,보고|신고,"document_rule,requirement",,,,Y,needs_review,v1 유지 · hit 과잉 의심 · reviewer 정답셋으로 분리 필요
ctrl_lifting_work_plan,양중작업 계획서 작성,lifting_work_plan,document_control,lifting_work_plan,양중작업 수행 전 인양계획서(하중·장비·신호체계)를 작성한다,양중작업 계획|인양계획|크레인 작업계획|lift plan,작성|승인,"document_rule,requirement",비래낙하,"EQ_CRANE_TOWER,EQ_CRANE_MOB,EQ_HOIST",양중,Y,draft,신규 (work_plan_preparation 세분)
ctrl_supervisor_assignment,관리감독자 배치,supervisor_assignment,supervision_control,supervisor_assignment,해당 작업에 관리감독자(작업지휘자)를 배치한다,관리감독자|안전보건관리책임자,배치|지정,requirement,,,,Y,needs_review,v1 유지 · 작업지휘자는 별도 control로 분리
ctrl_signalman_assignment,신호수 배치,signalman_assignment,supervision_control,signalman_assignment,중량물 인양·차량계 건설기계 작업에 신호수를 배치한다,신호수|유도자|수신호|신호체계,배치|지정,requirement,"충돌,비래낙하","EQ_CRANE_TOWER,EQ_CRANE_MOB,EQ_HOIST,EQ_FORKLIFT",양중,Y,needs_review,v1 유지 · 유도자 동의어 강화
ctrl_standby_person_assignment,감시인 배치,standby_person_assignment,supervision_control,standby_person_assignment,밀폐공간 등 고위험 작업 외부에 감시인을 상시 배치한다,감시인|감시자|외부 감시|standby|입회자,배치|지정|입회,"requirement,emergency_rule",질식,EQ_MANHOLE_BLOWER,밀폐공간,Y,needs_review,v1 유지 · 입회/standby 보강
ctrl_fire_watch_assignment,화재감시인 배치,fire_watch_assignment,supervision_control,fire_watch_assignment,화기작업 중 화재감시인을 배치하고 작업 후 30분 이상 잔류한다,화재감시인|화기감시|화재감시자|fire watch,배치|상주,requirement,,"EQ_WELDER_ARC,EQ_WELDER_GAS,EQ_GRINDER",용접,Y,needs_review,v1 유지
ctrl_crane_signal_rule,크레인 신호체계,crane_signal_rule,supervision_control,crane_signal_rule,크레인 작업 시 정해진 신호체계로만 작업지시를 전달한다,크레인 신호|신호체계|수신호,준수|전달,"procedure,requirement","비래낙하,중량물","EQ_CRANE_TOWER,EQ_CRANE_MOB,EQ_HOIST",양중,Y,needs_review,v1 유지
ctrl_work_leader_designation,작업지휘자 지정,work_leader_designation,supervision_control,work_leader_designation,차량계 건설기계·차량계 하역운반기계 등 특정 작업에 작업지휘자를 지정하여 작업을 직접 지휘한다,작업지휘자|작업 지휘자|작업을 지휘|직접 지휘,지정|지휘,"requirement,procedure",충돌,"EQ_EXCAV,EQ_BULLDOZER,EQ_FORKLIFT,EQ_ROLLER,EQ_CONC_PUMP,EQ_ASPHALT_PAVER","굴착,양중",Y,draft,신규 (supervisor_assignment 세분화: 차량계·특정 작업용)
ctrl_work_permit_issue,작업허가서 발행,work_permit_issue,permit_control,work_permit_issue,해당 작업에 대해 작업허가서를 발행하고 승인 후 착수한다,작업허가서|작업허가|작업 허가|PTW|permit to work|허가증,발행|승인,"document_rule,requirement",,,,N,needs_review,v1 유지 · PTW/허가증 alias 보강
ctrl_confined_space_permit,밀폐공간 작업허가,confined_space_permit,permit_control,confined_space_permit,밀폐공간 진입 전 작업허가서·가스농도·환기를 확인한다,밀폐공간 작업허가|밀폐공간 진입허가|confined space permit,발행|확인,"permit,requirement",질식,EQ_MANHOLE_BLOWER,밀폐공간,Y,needs_review,v1 유지
ctrl_hot_work_permit,화기작업 허가,hot_work_permit,permit_control,hot_work_permit,용접·용단 등 화기작업 허가서를 발행하고 주변 가연물을 제거한다,화기작업 허가|화기 허가|hot work permit,발행|승인,"permit,requirement",,"EQ_WELDER_ARC,EQ_WELDER_GAS,EQ_GRINDER",용접,N,needs_review,v1 유지
ctrl_excavation_permit,굴착작업 허가,excavation_permit,permit_control,excavation_permit,굴착 전 지하매설물·주변 구조물 확인 후 굴착작업 허가서를 발행한다,굴착작업 허가|굴착 허가|굴착 승인,발행|승인,"permit,requirement","붕괴,매몰","EQ_EXCAV,EQ_BULLDOZER",굴착,N,draft,신규 (permit 카테고리 zero-hit 보강)
ctrl_height_work_permit,고소작업 허가,height_work_permit,permit_control,height_work_permit,2m 이상 고소작업 착수 전 고소작업 허가서를 발행하고 추락방호 조치를 확인한다,고소작업 허가|고소 작업 허가|고소 허가,발행|승인,"permit,requirement",추락,"EQ_SCAFF,EQ_MOVSCAFF,EQ_AWP,EQ_SCISSORLIFT",고소작업,N,draft,신규 (permit 카테고리 zero-hit 보강)
ctrl_access_restriction,출입금지·구역 통제,access_restriction,administrative_control,access_restriction,위험구역 출입금지 표지·차단 설비를 설치하고 관계자 외 접근을 통제한다,출입금지|출입통제|출입 제한|관계자 외 출입|접근금지|안전선|안전펜스|바리케이드,통제|제한|설치,"requirement,prohibition",,,,Y,needs_review,v1 유지 · 다수 alias 보강
ctrl_work_zone_separation,작업구역 분리,work_zone_separation,administrative_control,work_zone_separation,작업 구역을 분리하고 혼재 시 사전 협의·조정을 수행한다,작업구역 분리|혼재작업 구역|구역 분리,분리|조정,requirement,충돌,,,Y,needs_review,v1 유지
ctrl_simultaneous_work_coordination,혼재작업 안전조정,simultaneous_work_coordination,administrative_control,simultaneous_work_coordination,도급·수급·자사 혼재작업 간 위험요인을 협의·조정한다,혼재작업|안전보건협의체|합동 안전점검|협의 조정,협의|조정,requirement,,,,Y,needs_review,v1 유지
ctrl_work_area_demarcation,작업구역 경계 표시,work_area_demarcation,administrative_control,work_area_demarcation,작업구역 경계를 물리적 표시(라바콘·안전선·표지)로 명확히 표시한다,라바콘|안전선|경계 표시|표시띠|구획 표시|차단 라인,표시|설치,"requirement,procedure",,,,N,draft,신규 (administrative zero-hit 보강)
ctrl_work_hour_restriction,작업시간·시간대 제한,work_hour_restriction,administrative_control,work_hour_restriction,야간·폭염·한파 등 위험 시간대 작업을 제한하거나 휴식시간을 추가로 부여한다,야간작업 제한|폭염 휴식|한파 휴식|작업시간 제한|근무시간 제한,제한|부여,"requirement,procedure","온열질환,한랭",,,Y,draft,신규 (administrative zero-hit 보강)
ctrl_emergency_evacuation,비상 대피체계 수립,emergency_evacuation,emergency_control,emergency_evacuation,비상 시 대피 경로·집결지·연락체계를 수립·주지한다,대피|피난|비상연락|집결지|대피경로,수립|주지|확보,"emergency_rule,requirement",,,,Y,needs_review,v1 유지
ctrl_first_aid_setup,응급처치 체계,first_aid_setup,emergency_control,first_aid_setup,응급처치 장비·구급함·응급연락망을 비치·주지한다,응급처치|구급함|응급연락|응급의료,비치|주지,emergency_rule,,,,Y,needs_review,v1 유지
ctrl_fire_extinguisher_setup,소화설비 비치,fire_extinguisher_setup,emergency_control,fire_extinguisher_setup,소화기·소화전 등 소화설비를 비치하고 사용법을 주지한다,소화기|소화전|소화설비|자동소화장치,비치|주지,"emergency_rule,equipment_rule",,"EQ_WELDER_ARC,EQ_WELDER_GAS",용접,Y,needs_review,v1 유지
ctrl_special_health_check,특수건강진단,special_health_check,health_control,special_health_check,유해인자 노출 근로자에게 특수건강진단을 실시한다,특수건강진단|배치전건강진단|배치전검진,실시,requirement,,,,Y,needs_review,v1 유지
ctrl_exposure_monitoring,유해인자 노출 관리,exposure_monitoring,health_control,exposure_monitoring,유해인자 노출 기준을 초과하지 않도록 관리한다,노출기준|허용기준|TLV|노출한도,관리|유지,requirement,,,,Y,needs_review,v1 유지
ctrl_noise_exposure_limit,소음 노출한도 관리,noise_exposure_limit,health_control,noise_exposure_limit,소음 노출시간·강도를 기준 이내로 관리한다,소음|dB|청력보존|85dB|90dB,관리|측정,"requirement,inspection_rule",소음진동,"EQ_JACKHAMMER,EQ_GRINDER,EQ_CIRCULAR_SAW,EQ_AIRCOMP,EQ_PILEDRIVER",,Y,needs_review,v1 유지
ctrl_heat_stress_management,온열질환 예방 관리,heat_stress_management,health_control,heat_stress_management,폭염 시 냉방·휴식·수분공급 등 온열질환 예방조치를 시행한다,폭염|열사병|온열질환|냉방|수분공급|그늘막,시행|제공,"requirement,procedure",온열질환,,,Y,draft,신규 (work_hour_restriction과 병행)
ctrl_housekeeping_cleanup,정리·정돈·청소,housekeeping_cleanup,housekeeping_control,housekeeping_cleanup,"작업장·통로의 자재 적치, 누유·분진을 정리한다",정리정돈|적치|통로 확보|미끄럼|5S,정리|청소|제거,"requirement,procedure",전도,,,Y,needs_review,v1 유지
ctrl_slip_prevention,미끄럼 방지,slip_prevention,housekeeping_control,slip_prevention,바닥 누유·결빙·빗물로 인한 미끄럼을 방지한다,미끄럼|결빙|누유|빗물|물기,방지|제거,requirement,전도,,,Y,needs_review,v1 유지
ctrl_hot_work_area_clear,화기작업 주변 가연물 제거,hot_work_area_clear,housekeeping_control,hot_work_area_clear,용접·용단 작업 전 10m 이내 가연물을 제거하거나 격리한다,가연물|가연물 제거|10m|인화성 물질 제거,제거|격리,"requirement,procedure",,"EQ_WELDER_ARC,EQ_WELDER_GAS",용접,Y,needs_review,v1 유지
ctrl_traffic_guide_assignment,차량 유도자 배치,traffic_guide_assignment,traffic_control,traffic_guide_assignment,중장비·차량 이동 구간에 신호수·유도자를 배치한다,유도자|차량 유도|장비 유도|유도원|유도요원,배치|유도,requirement,충돌,"EQ_EXCAV,EQ_FORKLIFT,EQ_BULLDOZER,EQ_ROLLER",,Y,needs_review,v1 유지 · 유도원 alias
ctrl_backup_alarm_use,후진경보 사용,backup_alarm_use,traffic_control,backup_alarm_use,후진 시 경보장치·유도자로 충돌을 방지한다,후진경보|후진 시 경보|후진 경고음|후방감지기,사용|배치,requirement,충돌,"EQ_EXCAV,EQ_FORKLIFT,EQ_BULLDOZER,EQ_ROLLER",,Y,needs_review,v1 유지
ctrl_vehicle_path_separation,차량·보행자 동선 분리,vehicle_path_separation,traffic_control,vehicle_path_separation,차량 주행로와 보행자 동선을 물리적으로 분리한다,차량 동선|보행자 동선|주행로|보행로 분리|차량과 보행자,분리|구분,"requirement,procedure",충돌,"EQ_EXCAV,EQ_FORKLIFT,EQ_BULLDOZER",,N,draft,신규 (traffic zero-hit 보강)
ctrl_speed_limit,제한속도 설정·준수,speed_limit,traffic_control,speed_limit,사업장 내 차량·중장비 제한속도를 지정하고 준수시킨다,제한속도|서행|시속|속도 제한,설정|준수,"requirement,procedure",충돌,"EQ_FORKLIFT,EQ_EXCAV",,N,draft,신규 (traffic zero-hit 보강)
