normalized_sentence_id,source_sentence_id,source_type,document_id,document_title,raw_sentence_text,normalized_sentence_text,normalization_status,split_group_id,split_order,was_split,split_confidence,normalization_type,sentence_role,obligation_level_candidate,subject_candidate,subject_candidate_direct,subject_candidate_inherited,subject_candidate_confidence,inherited_subject_from,object_candidate,object_candidate_direct,object_candidate_inherited,object_candidate_confidence,action_candidate,condition_candidate,hazard_candidate,equipment_candidate,control_candidate,evidence_candidate,noise_flag,noise_recovery_candidate,ambiguity_flag,context_required_flag,duplicate_flag,duplicate_type,canonical_candidate,duplicate_of,duplicate_group_id,quality_issue_codes,confidence,normalization_note,reviewer_note
S0025-01,S0025,law,14457,중대재해 처벌 등에 관한 법률 제16조 (정부의 사업주 등에 대한 지원 및 보고),[시행일 : 2021.1.26] 제16조 ① ① 정부는 중대재해를 예방하여 시민과 종사자의 안전과 건강을 확보하기 위하여 다음 각 호의 사항을 이행하여야 한다.,[시행일 : 2021.1.26] 제16조 ① ① 정부는 중대재해를 예방하여 시민과 종사자의 안전과 건강을 확보하기 위하여 다음 각 호의 사항을 이행하여야 한다.,auto,S0025,1,0,high,no_change,rule_core,mandatory,authority,authority,,direct_high,,,,,unresolved,,,,,ctrl_incident_report,,0,0,0,0,0,,1,,,,medium,,
S0026-01,S0026,law,14457,중대재해 처벌 등에 관한 법률 제16조 (정부의 사업주 등에 대한 지원 및 보고),③ 정부는 제1항 및 제2항에 따른 중대재해 예방을 위한 조치 이행 등 상황 및 중대재해 예방사업 지원 현황을 반기별로 국회 소관 상임위원회에 보고하여야 한다.,정부는 제1항 및 제2항에 따른 중대재해 예방을 위한 조치 이행 등 상황 및 중대재해 예방사업 지원 현황을 반기별로 국회 소관 상임위원회에 보고하여야 한다.,auto,S0026,1,0,high,header_strip,rule_core,mandatory,authority,authority,,direct_high,,,,,unresolved,report,,,,ctrl_incident_report,,0,0,0,0,0,,1,,,,medium,,
S0027-01,S0027,law,14460,건설근로자의 고용개선 등에 관한 법률 제2조 (정의),"""사업주(事業主)""란 근로자를 고용하여 대통령령으로 정하는 건설업(이하 ""건설업""이라 한다)을 하는 자로서 관계 법령에 따라 면허ㆍ허가ㆍ등록 등을 받거나 한 자를 말한다.","""사업주(事業主)""란 근로자를 고용하여 대통령령으로 정하는 건설업(이하 ""건설업""이라 한다)을 하는 자로서 관계 법령에 따라 면허ㆍ허가ㆍ등록 등을 받거나 한 자를 말한다.",auto,S0027,1,0,high,no_change,explanation,informative,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0028-01,S0028,law,14460,건설근로자의 고용개선 등에 관한 법률 제2조 (정의),"""원수급인(元受給人)""이란 발주자로부터 건설업의 공사를 도급받은 사업주를 말한다.","""원수급인(元受給人)""이란 발주자로부터 건설업의 공사를 도급받은 사업주를 말한다.",auto,S0028,1,0,high,no_change,explanation,informative,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0029-01,S0029,law,14460,건설근로자의 고용개선 등에 관한 법률 제2조 (정의),"""하수급인(下受給人)""이란 원수급인으로부터 건설업의 공사를 도급받은 사업주와 그로부터 건설업의 공사를 도급받은 사업주를 말한다.","""하수급인(下受給人)""이란 원수급인으로부터 건설업의 공사를 도급받은 사업주와 그로부터 건설업의 공사를 도급받은 사업주를 말한다.",auto,S0029,1,0,high,no_change,explanation,informative,contractor,contractor,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
S0030-01,S0030,law,14460,건설근로자의 고용개선 등에 관한 법률 제2조 (정의),"""퇴직공제(退職共濟)""란 사업주가 건설근로자를 피공제자로 하여 건설근로자공제회에 공제부금(共濟賦金)을 내고 그 피공제자가 건설업에서 퇴직하는 등의 경우에 건설근로자공제회가 퇴직공제금을 지급하는 것을 말한다.","""퇴직공제(退職共濟)""란 사업주가 건설근로자를 피공제자로 하여 건설근로자공제회에 공제부금(共濟賦金)을 내고 그 피공제자가 건설업에서 퇴직하는 등의 경우에 건설근로자공제회가 퇴직공제금을 지급하는 것을 말한다.",auto,S0030,1,0,high,no_change,explanation,informative,employer,employer,,direct_high,,,,,unresolved,provide,,,,,,0,0,0,0,0,,1,,,Q03,medium,,
S0031-01,S0031,law,14461,건설근로자의 고용개선 등에 관한 법률 제3조 (건설근로자 고용개선 기본계획의 수립ㆍ시행),"제3조(건설근로자 고용개선 기본계획의 수립ㆍ시행) ① ① 고용노동부장관은 건설근로자의 고용안정을 도모하고 직업능력의 개발ㆍ향상을 촉진하며 건설근로자의 복지증진을 지원하기 위하여 건설근로자 고용개선 기본계획(이하 ""기본계획""이라 한다)을 5년마다 수립ㆍ시행하여야 한다.","① 고용노동부장관은 건설근로자의 고용안정을 도모하고 직업능력의 개발ㆍ향상을 촉진하며 건설근로자의 복지증진을 지원하기 위하여 건설근로자 고용개선 기본계획(이하 ""기본계획""이라 한다)을 5년마다 수립ㆍ시행하여야 한다.",auto,S0031,1,0,high,header_strip,explanation,informative,authority,authority,,direct_high,,,,,unresolved,,,,,,제3조(건설근로자 고용개선 기본계획의 수립ㆍ시행),0,0,0,0,0,,1,,,,medium,,
S0032-01,S0032,law,14461,건설근로자의 고용개선 등에 관한 법률 제3조 (건설근로자 고용개선 기본계획의 수립ㆍ시행),<개정 2010.6.4> ④ ④ 고용노동부장관이 제1항에 따라 기본계획을 수립한 때에는 지체 없이 국회 소관 상임위원회에 보고하여야 한다.,④ 고용노동부장관이 제1항에 따라 기본계획을 수립한 때에는 지체 없이 국회 소관 상임위원회에 보고하여야 한다.,auto,S0032,1,0,high,header_strip,rule_core,mandatory,authority,authority,,direct_high,,,,,unresolved,report,,,,ctrl_incident_report,,0,0,0,0,0,,1,,,,medium,,
S0033-01,S0033,law,14464,건설근로자의 고용개선 등에 관한 법률 제5조 (고용관리 책임자),제5조(고용관리 책임자) ① ① 사업주는 다음 각 호에 관한 해당 사업장의 업무 처리를 위하여 사업장별로 고용관리 책임자를 지정하고 이를 고용노동부장관에게 신고하여야 한다.,① 사업주는 다음 각 호에 관한 해당 사업장의 업무 처리를 위하여 사업장별로 고용관리 책임자를지정하여야 한다.,auto_flagged,S0033,1,1,medium,"header_strip,split_action",rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,,,,,,제5조(고용관리 책임자),0,0,0,1,0,,1,,,"Q01,Q12",low,,
S0033-02,S0033,law,14464,건설근로자의 고용개선 등에 관한 법률 제5조 (고용관리 책임자),제5조(고용관리 책임자) ① ① 사업주는 다음 각 호에 관한 해당 사업장의 업무 처리를 위하여 사업장별로 고용관리 책임자를 지정하고 이를 고용노동부장관에게 신고하여야 한다.,① 사업주는 이를 고용노동부장관에게 신고하여야 한다.,auto,S0033,2,1,medium,"header_strip,split_action",rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,report,,,,,제5조(고용관리 책임자),0,0,0,0,0,,1,,,Q01,medium,,
S0034-01,S0034,law,14464,건설근로자의 고용개선 등에 관한 법률 제5조 (고용관리 책임자),"다만, 대통령령으로 정하는 일정 규모 이하의 사업장의 경우 그러하지 아니하다.","다만, 대통령령으로 정하는 일정 규모 이하의 사업장의 경우 그러하지 아니하다.",auto,S0034,1,0,high,no_change,exception,exception,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0035-01,S0035,law,14464,건설근로자의 고용개선 등에 관한 법률 제5조 (고용관리 책임자),<개정 2011.7.25> ④ ④ 사업주는 고용관리 책임자에게 교육ㆍ연수를 시키는 등 그의 업무수행능력을 향상시키기 위하여 노력하여야 한다.,④ 사업주는 고용관리 책임자에게 교육ㆍ연수를 시키는 등 그의 업무수행능력을 향상시키기 위하여 노력하여야 한다.,auto_flagged,S0035,1,0,high,"header_strip,vague_flag",rule_core,mandatory,employer,employer,,direct_high,,,,,unresolved,train,,,,,,0,0,1,0,0,,1,,,"Q04,Q03",low,,
S0036-01,S0036,law,14464,건설근로자의 고용개선 등에 관한 법률 제5조 (고용관리 책임자),⑤ 원수급인이 지정하는 고용관리 책임자는 같은 사업장의 하수급인이 지정하는 고용관리 책임자의 제1항제3호부터 제5호까지의 사항에 관한 업무 처리를 지도 및 지원하여야 한다.,원수급인이 지정하는 고용관리 책임자는 같은 사업장의 하수급인이 지정하는 고용관리 책임자의 제1항제3호부터 제5호까지의 사항에 관한 업무 처리를 지도 및 지원하여야 한다.,auto,S0036,1,0,high,header_strip,rule_core,mandatory,contractor,contractor,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
S0037-01,S0037,law,14465,건설근로자의 고용개선 등에 관한 법률 제6조 (고용에 관한 서류의 발급),사업주(법인인 경우에는 대표자를 말한다)의 성명 2.,사업주(법인인 경우에는 대표자를 말한다)의 성명 2.,auto,S0037,1,0,high,no_change,condition,,employer,employer,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
S0038-01,S0038,law,14465,건설근로자의 고용개선 등에 관한 법률 제6조 (고용에 관한 서류의 발급),사업장의 명칭 및 소재지(사업주가 법인인 경우에는 법인의 명칭 및 소재지를 포함한다) 3.,사업장의 명칭 및 소재지(사업주가 법인인 경우에는 법인의 명칭 및 소재지를 포함한다) 3.,auto,S0038,1,0,high,no_change,condition,,employer,employer,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
S0039-01,S0039,law,14466,건설근로자의 고용개선 등에 관한 법률 제7조 (건설근로자의 고용개선 등),"<신설 2011.7.25> ③ 신설 2011.7.25, 2021.8.17 ③ 제2항에 따라 위탁이나 재위탁을 받는 법인 또는 단체가 제1항 각 호의 어느 하나에 해당하는 사업을 실시하기 위하여는 「국민 평생 직업능력 개발법」, 「직업안정법」 등 그 사업실시와 관련된 법령에서 정한 요건을 갖추어야 한다.","신설 2011.7.25, 2021.8.17 ③ 제2항에 따라 위탁이나 재위탁을 받는 법인 또는 단체가 제1항 각 호의 어느 하나에 해당하는 사업을 실시하기 위하여는 「국민 평생 직업능력 개발법」, 「직업안정법」 등 그 사업실시와 관련된 법령에서 정한 요건을 갖추어야 한다.",auto,S0039,1,0,high,header_strip,rule_core,informative,,,,unresolved,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,Q02,medium,,
S0040-01,S0040,law,14466,건설근로자의 고용개선 등에 관한 법률 제7조 (건설근로자의 고용개선 등),"<개정 2010.6.4, 2011.7.25> ⑥ ⑥ 고용노동부장관은 제1항 각 호의 사업을 실시함에 있어 건설일용근로자를 우선적으로 배려하여야 한다.",⑥ 고용노동부장관은 제1항 각 호의 사업을 실시함에 있어 건설일용근로자를 우선적으로 배려하여야 한다.,auto,S0040,1,0,high,header_strip,rule_core,mandatory,authority,authority,,direct_high,,,,,unresolved,,,,,,,0,0,0,0,0,,1,,,,medium,,
