sample_id,sentence_text,source_type,sentence_type,obligation_level,action_type,condition_type,hazard_candidate,equipment_candidate,work_type_candidate,control_category_candidate,control_type_candidate,control_name_candidate,legal_required_possible,confidence,review_note
S0036,⑤ 원수급인이 지정하는 고용관리 책임자는 같은 사업장의 하수급인이 지정하는 고용관리 책임자의 제1항제3호부터 제5호까지의 사항에 관한 업무 처리를 지도 및 지원하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0037,사업주(법인인 경우에는 대표자를 말한다)의 성명 2.,law,condition_trigger,informative,,,,,,,,,,low,
S0038,사업장의 명칭 및 소재지(사업주가 법인인 경우에는 법인의 명칭 및 소재지를 포함한다) 3.,law,condition_trigger,informative,,,,,,,,,,low,
S0039,"<신설 2011.7.25> ③ 신설 2011.7.25, 2021.8.17 ③ 제2항에 따라 위탁이나 재위탁을 받는 법인 또는 단체가 제1항 각 호의 어느 하나에 해당하는 사업을 실시하기 위하여는 「국민 평생 직업능력 개발법」, 「직업안정법」 등 그 사업실시와 관련된 법령에서 정한 요건을 갖추어야 한다.",law,equipment_rule,mandatory,,,,,,,,,,low,
S0040,"<개정 2010.6.4, 2011.7.25> ⑥ ⑥ 고용노동부장관은 제1항 각 호의 사업을 실시함에 있어 건설일용근로자를 우선적으로 배려하여야 한다.",law,requirement,mandatory,,,,,,,,,,low,
S0041,제7조의2(고용 관련 편의시설의 설치 등) 사업주는 대통령령으로 정하는 규모 이상의 건설공사가 시행되는 현장에 화장실ㆍ식당ㆍ탈의실 등의 시설을 설치하거나 이용할 수 있도록 조치하여야 한다.,law,requirement,mandatory,install,,,,,,,,,low,
S0042,"제7조의3(임금비용의 구분지급 및 확인) 3 ① ① 국가, 지방자치단체 또는 대통령령으로 정하는 자가 발주하는 건설공사로서 대통령령으로 정하는 규모 이상의 건설공사를 도급하는 자(발주자를 포함하며, 이하 ""도급인""이라 한다)는 그 공사를 도급받은 자(이하 ""수급인""이라 한다)가 건설근로자에게 지급하여야 할 임금에 해당하는 비용(이하 ""임금비용""이라 한다)을 다른 공사비와 구분하여 지급하여야 한다.",law,definition,informative,provide,,,,,,,,,low,
S0043,이 경우 임금비용은 매월 지급하여야 한다.,law,requirement,mandatory,provide,periodic_schedule,,,,inspection_control,ctrl_periodic_inspection,정기 점검,Y,medium,
S0044,② 도급인은 제1항에 따라 수급인에게 건설근로자에 대한 임금비용을 지급할 때에는 수급인이 전월(前月)[임금비용을 최초로 지급한 월(月)에 건설공사가 시작된 경우는 제외한다]에 해당 건설근로자에게 지급한 임금의 내역을 확인하여야 한다.,law,scope_exclusion,exception,provide,,,,,,,,,low,
S0045,③ 도급인은 제2항에 따른 임금의 지급내역을 확인한 결과 수급인이 건설근로자에게 임금을 지급하지 아니한 경우에는 그 사실을 고용노동부장관에게 통보하여야 한다.,law,requirement,mandatory,provide,,,,,,,,,low,
S0046,"제7조의5(기능등급확인증의 발급) 5 ① ① 국토교통부장관은 건설근로자, 사업주 또는 발주자의 신청이 있으면 국토교통부령으로 정하는 바에 따라 건설근로자의 기능등급에 관한 확인증(이하 ""기능등급확인증""이라 한다)을 신청인에게 발급할 수 있다.",law,definition,informative,,,,,,,,,,low,
S0047,"다만, 사업주 또는 발주자는 국토교통부령으로 정하는 사유에 해당하는 경우에만 기능등급확인증의 발급을 신청할 수 있다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0048,② 제1항에 따라 기능등급확인증을 발급받으려는 자는 국토교통부령으로 정하는 바에 따라 수수료를 납부하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0049,제8조(공제사업의 실시) 대통령령으로 정하는 건설업 관련 공제조합 및 사업주단체 중 대통령령으로 정하는 기준에 해당하는 자는 건설근로자의 고용안정과 복지증진을 위하여 퇴직공제에 관한 사업 등 건설근로자를 위한 공제사업을 공동으로 실시하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0050,"제9조(건설근로자공제회의 설립 등) ① ① 제8조에 따라 공제사업을 실시하는 자는 고용노동부장관의 인가를 받아 건설근로자공제회(이하 ""공제회""라 한다)를 설립하여야 한다.",law,definition,informative,,,,,,,,,,low,
S0051,"다만, 제1호의 공제부금 중 퇴직공제금은 피공제자의 퇴직공제금 지급 사업의 용도로만 사용하여야 한다.",law,scope_exclusion,exception,provide,,,,,,,,,low,
S0052,"이 경우 공제회 또는 의뢰를 받는 기관이 해당 사업을 실시하기 위하여는 「국민 평생 직업능력 개발법」, 「직업안정법」 등 그 사업실시와 관련된 법령에서 정한 요건을 갖추어야 한다.",law,equipment_rule,mandatory,,,,,,,,,,low,
S0053,그 밖에 이사회가 필요하다고 인정한 사항 ② ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다.,law,document_rule,mandatory,report,,,,,document_control,ctrl_incident_report,재해·사고 보고,Y,medium,
S0054,제10조(퇴직공제의 가입) ① ① 「건설산업기본법」 제87조제1항에 따른 건설공사와 대통령령으로 정하는 건설공사를 하는 사업주(사업이 여러 차례의 도급에 의하여 수행되는 경우에는 원수급인을 말한다)는 그 건설공사의 사업시작일부터 당연히 퇴직공제의 가입자가 된다.,law,definition,informative,,,,,,,,,,low,
S0055,"다만, 발주자가 직접 시공하는 건설공사의 경우에는 공사원가 계산서에 퇴직공제에 가입하는 데에 드는 금액을 밝혀야 한다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0056,제10조의4(퇴직공제 관계의 신고) 4 ① ① 제10조제1항에 따라 당연히 퇴직공제의 가입자가 된 사업주는 그 건설공사의 사업시작일부터 14일 이내에 공제회에 퇴직공제 관계의 성립을 신고하여야 한다.,law,document_rule,mandatory,report,,,,,,,,,low,
S0057,"<신설 2019.11.26> ④ ④ 대통령령으로 정하는 일정 규모 이상 사업장의 사업주로서 퇴직공제에 가입한 사업주는 피공제자의 근로일수를 신고하기 위하여 피공제자에게 전자카드를 발급하고, 피공제자는 이를 사용하여야 한다.",law,requirement,mandatory,report,,,,,,,,,low,
S0058,제14조(퇴직공제금의 지급) ① ① 공제회는 다음 각 호의 사유가 발생한 경우에는 공제부금의 납부 월수(月數)를 고려하여 대통령령으로 정하는 기준에 따라 피공제자나 그 유족에게 퇴직공제금을 지급하여야 한다.,law,requirement,mandatory,provide,,,,,,,,,low,
S0059,"다만, 피공제자가 둘 이상의 퇴직공제에 가입한 사업주에게 고용되어 근로한 경우에는 각각의 근로일수를 합산한 일수를 기준으로 하여 납부 월수를 계산한다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0060,제15조(퇴직의 증명 등) ① ① 퇴직공제금을 지급받으려는 자는 퇴직사실을 증명하는 서류와 그 밖에 고용노동부령으로 정하는 서류를 공제회에 제출하여야 한다.,law,requirement,mandatory,provide,,,,,,,,,low,
S0061,"다만, 자진하여 거짓이나 그 밖의 부정한 방법으로 퇴직공제금을 지급받은 사실을 신고하는 경우에는 그 지급받은 퇴직공제금만을 반환하도록 한다.",law,scope_exclusion,exception,provide,,,,,,,,,low,
S0062,제19조(근로자에 대한 고지) ① ① 퇴직공제에 가입한 사업주는 고용노동부령으로 정하는 바에 따라 건설근로자가 보기 쉬운 장소에 퇴직공제의 내용을 게시하여야 한다.,law,document_rule,mandatory,post,,,,,,,,,low,
S0063,제19조의2(피공제자 사망 시 퇴직공제금의 고지) 공제회는 피공제자가 사망한 경우에는 그 유족에게 퇴직공제금의 지급신청 절차와 방법 등을 고용노동부령으로 정하는 바에 따라 고지하여야 한다.,law,requirement,mandatory,provide,,,,,,,,,low,
S0064,"다만, 공제회로부터 자금을 대부받는 경우에는 이를 담보로 제공할 수 있다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0065,"제22조의2(준비금의 적립) 공제회는 결산기마다 장래에 지급할 퇴직공제금에 충당하기 위하여 준비금을 계상(計上)하고, 별도로 회계처리하여야 한다.",law,requirement,mandatory,provide,,,,,,,,,low,
S0066,"제23조의2(관계기관에 대한 협조요청) 2 ① ① 공제회는 제14조에 따른 퇴직공제금의 지급, 제19조제3항 및 제19조의2에 따른 고지 등 이 법에 따른 업무를 수행하기 위하여 다음 각 호의 어느 하나에 해당하는 자료의 제공 또는 관계 전산망의 이용(이하 ""자료제공등""이라 한다)을 해당 각 호의 자에게 각각 요청할 수 있다.",law,definition,informative,provide,,,,,,,,,low,
S0067,법무부장관에게 피공제자의 「출입국관리법」에 따른 출입국관리기록 및 외국인등록 관련자료 ② ② 제1항에 따른 자료제공등을 요청할 때에는 다음 각 호의 사항을 적은 문서로 요청하여야 한다.,law,requirement,mandatory,record,,,,,document_control,ctrl_record_retention,점검·교육 기록 보존,Y,medium,
S0068,제공요청 목록 ③ ③ 제1항에 따른 자료를 활용하여 업무를 수행하거나 수행했던 사람은 제1항에 따라 제공받은 자료나 업무를 수행하면서 취득한 정보를 이 법에서 정한 목적 외의 용도로 사용하거나 다른 사람 또는 기관에 제공하거나 누설해서는 아니 된다.,law,prohibition,prohibited,,,,,,,,,,low,
S0069,"다만, 법인ㆍ단체 또는 개인이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니한 경우에는 그러하지 아니하다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0070,제13조제1항을 위반하여 공제부금을 내지 아니한 자(제13조의2에 따라 도급인이 공제부금을 직접 내야 하는 경우는 제외한다) 8.,law,scope_exclusion,exception,,,,,,,,,,low,
S0071,제1조(목적) 이 법은 특정소방대상물 등에 설치하여야 하는 소방시설등의 설치ㆍ관리와 소방용품 성능관리에 필요한 사항을 규정함으로써 국민의 생명ㆍ신체 및 재산을 보호하고 공공의 안전과 복리 증진에 이바지함을 목적으로 한다.,law,equipment_rule,mandatory,install,,,,,,,,,low,
S0072,"""소방시설""이란 소화설비, 경보설비, 피난구조설비, 소화용수설비, 그 밖에 소화활동설비로서 대통령령으로 정하는 것을 말한다.",law,definition,informative,,,,,,,,,,low,
S0073,"""소방시설등""이란 소방시설과 비상구(非常口), 그 밖에 소방 관련 시설로서 대통령령으로 정하는 것을 말한다.",law,definition,informative,,,,,,,,,,low,
S0074,"""특정소방대상물""이란 건축물 등의 규모ㆍ용도 및 수용인원 등을 고려하여 소방시설을 설치하여야 하는 소방대상물로서 대통령령으로 정하는 것을 말한다.",law,definition,informative,install,,,,,,,,,low,
S0075,"""화재안전성능""이란 화재를 예방하고 화재발생 시 피해를 최소화하기 위하여 소방대상물의 재료, 공간 및 설비 등에 요구되는 안전성능을 말한다.",law,definition,informative,,,,,,,,,,low,
S0076,"""성능위주설계""란 건축물 등의 재료, 공간, 이용자, 화재 특성 등을 종합적으로 고려하여 공학적 방법으로 화재 위험성을 평가하고 그 결과에 따라 화재안전성능이 확보될 수 있도록 특정소방대상물을 설계하는 것을 말한다.",law,definition,informative,,,,,,,,,,low,
S0077,"""화재안전기준""이란 소방시설 설치 및 관리를 위한 다음 각 목의 기준을 말한다.",law,definition,informative,install,,,,,,,,,low,
S0078,"""소방용품""이란 소방시설등을 구성하거나 소방용으로 사용되는 제품 또는 기기로서 대통령령으로 정하는 것을 말한다.",law,definition,informative,,,,,,,,,,low,
S0079,제3조(국가 및 지방자치단체의 책무) ① ① 국가와 지방자치단체는 소방시설등의 설치ㆍ관리와 소방용품의 품질 향상 등을 위하여 필요한 정책을 수립하고 시행하여야 한다.,law,requirement,mandatory,install,,,,,,,,,low,
S0080,"② 국가와 지방자치단체는 새로운 소방 기술ㆍ기준의 개발 및 조사ㆍ연구, 전문인력 양성 등 필요한 노력을 하여야 한다.",law,requirement,mandatory,,,,,,,,,,low,
S0081,③ 국가와 지방자치단체는 제1항 및 제2항에 따른 정책을 수립ㆍ시행하는 데 있어 필요한 행정적ㆍ재정적 지원을 하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0082,제4조(관계인의 의무) ① ① 관계인(「소방기본법」 제2조제3호에 따른 관계인을 말한다.,law,definition,informative,,,,,,,,,,low,
S0083,이하 같다)은 소방시설등의 기능과 성능을 보전ㆍ향상시키고 이용자의 편의와 안전성을 높이기 위하여 노력하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0084,② 관계인은 매년 소방시설등의 관리에 필요한 재원을 확보하도록 노력하여야 한다.,law,inspection_rule,mandatory,,,,,,,,,,low,
S0085,③ 관계인은 국가 및 지방자치단체의 소방시설등의 설치 및 관리 활동에 적극 협조하여야 한다.,law,requirement,mandatory,install,,,,,,,,,low,
S0086,④ 관계인 중 점유자는 소유자 및 관리자의 소방시설등 관리 업무에 적극 협조하여야 한다.,law,requirement,mandatory,,,,,,,,,,low,
S0087,"제6조(건축허가등의 동의 등) ① ① 건축물 등의 신축ㆍ증축ㆍ개축ㆍ재축(再築)ㆍ이전ㆍ용도변경 또는 대수선(大修繕)의 허가ㆍ협의 및 사용승인(「주택법」 제15조에 따른 승인 및 같은 법 제49조에 따른 사용검사, 「학교시설사업 촉진법」 제4조에 따른 승인 및 같은 법 제13조에 따른 사용승인을 포함하며, 이하 ""건축허가등""이라 한다)의 권한이 있는 행정기관은 건축허가등을 할 때 미리 그 건축물 등의 시공지(施工地) 또는 소재지를 관할하는 소방본부장이나 소방서장의 동의를 받아야 한다.",law,definition,informative,inspect,,,,,,,,,low,
S0088,③ 제1항에 따른 건축허가등의 권한이 있는 행정기관과 제2항에 따른 신고를 수리할 권한이 있는 행정기관은 제1항에 따라 건축허가등의 동의를 받거나 제2항에 따른 신고를 수리한 사실을 알릴 때 관할 소방본부장이나 소방서장에게 건축허가등을 하거나 신고를 수리할 때 건축허가등을 받으려는 자 또는 신고를 한 자가 제출한 설계도서 중 건축물의 내부구조를 알 수 있는 설계도면을 제출하여야 한다.,law,requirement,mandatory,report,,,,,,,,,low,
S0089,"다만, 국가안보상 중요하거나 국가기밀에 속하는 건축물을 건축하는 경우로서 관계 법령에 따라 행정기관이 설계도면을 확보할 수 없는 경우에는 그러하지 아니하다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0090,"「건축법」 제49조제1항 및 제2항에 따른 피난시설, 방화구획(防火區劃) 2.",law,emergency_rule,mandatory,,,,,,emergency_control,ctrl_emergency_evacuation,비상 대피체계 수립,Y,medium,
S0091,"「건축법」 제50조, 제50조의2, 제51조, 제52조, 제52조의2 및 제53조에 따른 방화벽, 마감재료 등(이하 ""방화시설""이라 한다) 4.",law,definition,informative,,,,,,,,,,low,
S0092,그 밖에 소방자동차의 접근이 가능한 통로의 설치 등 대통령령으로 정하는 사항 ⑥ ⑥ 제1항에 따라 사용승인에 대한 동의를 할 때에는 「소방시설공사업법」 제14조제3항에 따른 소방시설공사의 완공검사증명서를 발급하는 것으로 동의를 갈음할 수 있다.,law,condition_trigger,informative,install,,,,,,,,,low,
S0093,이 경우 제1항에 따른 건축허가등의 권한이 있는 행정기관은 소방시설공사의 완공검사증명서를 확인하여야 한다.,law,inspection_rule,mandatory,inspect,,,,,,,,,low,
S0094,⑦ 제1항에 따른 건축허가등을 할 때 소방본부장이나 소방서장의 동의를 받아야 하는 건축물 등의 범위는 대통령령으로 정한다.,law,condition_trigger,informative,,,,,,,,,,low,
S0095,"⑧ 다른 법령에 따른 인가ㆍ허가 또는 신고 등(건축허가등과 제2항에 따른 신고는 제외하며, 이하 이 항에서 ""인허가등""이라 한다)의 시설기준에 소방시설등의 설치ㆍ관리 등에 관한 사항이 포함되어 있는 경우 해당 인허가등의 권한이 있는 행정기관은 인허가등을 할 때 미리 그 시설의 소재지를 관할하는 소방본부장이나 소방서장에게 그 시설이 이 법 또는 이 법에 따른 명령을 따르고 있는지를 확인하여 줄 것을 요청할 수 있다.",law,definition,informative,install,,,,,,,,,low,
S0096,제7조(소방시설의 내진설계기준) 「지진ㆍ화산재해대책법」 제14조제1항 각 호의 시설 중 대통령령으로 정하는 특정소방대상물에 대통령령으로 정하는 소방시설을 설치하려는 자는 지진이 발생할 경우 소방시설이 정상적으로 작동될 수 있도록 소방청장이 정하는 내진설계기준에 맞게 소방시설을 설치하여야 한다.,law,equipment_rule,mandatory,install,,,,,,,,,low,
S0097,제8조(성능위주설계) ① ① 연면적ㆍ높이ㆍ층수 등이 일정 규모 이상인 대통령령으로 정하는 특정소방대상물(신축하는 것만 해당한다)에 소방시설을 설치하려는 자는 성능위주설계를 하여야 한다.,law,requirement,mandatory,install,,,,,,,,,low,
S0098,② 제1항에 따라 소방시설을 설치하려는 자가 성능위주설계를 한 경우에는 「건축법」 제11조에 따른 건축허가를 신청하기 전에 해당 특정소방대상물의 시공지 또는 소재지를 관할하는 소방서장에게 신고하여야 한다.,law,document_rule,mandatory,install,,,,,,,,,low,
S0099,③ 소방서장은 제2항에 따른 신고 또는 변경신고를 받은 경우 그 내용을 검토하여 이 법에 적합하면 신고를 수리하여야 한다.,law,requirement,mandatory,report,,,,,,,,,low,
S0100,④ 제2항에 따라 성능위주설계의 신고 또는 변경신고를 하려는 자는 해당 특정소방대상물이 「건축법」 제4조의2에 따른 건축위원회의 심의를 받아야 하는 건축물인 경우에는 그 심의를 신청하기 전에 성능위주설계의 기본설계도서(基本設計圖書) 등에 대해서 해당 특정소방대상물의 시공지 또는 소재지를 관할하는 소방서장의 사전검토를 받아야 한다.,law,condition_trigger,informative,report,,,,,,,,,low,
S0101,"다만, 소방서장은 신기술ㆍ신공법 등 검토ㆍ평가에 고도의 기술이 필요한 경우에는 제18조제1항에 따른 중앙소방기술심의위원회에 심의를 요청할 수 있다.",law,scope_exclusion,exception,,,,,,,,,,low,
S0102,"제9조(성능위주설계평가단) ① ① 성능위주설계에 대한 전문적ㆍ기술적인 검토 및 평가를 위하여 소방청 또는 소방본부에 성능위주설계 평가단(이하 ""평가단""이라 한다)을 둔다.",law,definition,informative,,,,,,,,,,low,
S0103,"제1조(목적) 이 법은 사업 또는 사업장, 공중이용시설 및 공중교통수단을 운영하거나 인체에 해로운 원료나 제조물을 취급하면서 안전ㆍ보건 조치의무를 위반하여 인명피해를 발생하게 한 사업주, 경영책임자, 공무원 및 법인의 처벌 등을 규정함으로써 중대재해를 예방하고 시민과 종사자의 생명과 신체를 보호함을 목적으로 한다.",law,descriptive_noise,informative,,,,,,,,,,low,
S0104,제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다.,law,descriptive_noise,informative,,,,,,,,,,low,
S0105,"""중대재해""란 ""중대산업재해""와 ""중대시민재해""를 말한다.",law,descriptive_noise,informative,,,,,,,,,,low,
S0106,"""중대산업재해""란 「산업안전보건법」 제2조제1호에 따른 산업재해 중 다음 각 목의 어느 하나에 해당하는 결과를 야기한 재해를 말한다.",law,descriptive_noise,informative,,,,,,,,,,low,
S0107,사망자가 1명 이상 발생 나.,law,descriptive_noise,informative,,quantity_threshold,,,,,,,,low,
S0108,동일한 사고로 6개월 이상 치료가 필요한 부상자가 2명 이상 발생 다.,law,descriptive_noise,informative,,quantity_threshold,,,,,,,,low,
